samples,r.squared,distinct,points,removed,final,remaining
S19S_0006_ICR-2_p05,0.141642322505922,12,12,1,11,0.916666666666667
S19S_0012_ICR-1_p05,0.591842712969754,10,10,0,10,1
S19S_0015_Sed_Field_ICR-M_P2,0.338439093965488,16,16,1,15,0.9375
S19S_0018_ICR-1_p05,0.487906018752024,37,37,0,37,1
S19S_0018_ICR-2_p05,0.253011121043483,29,29,0,29,1
S19S_0019_ICR-2_p05,0.409492655477954,19,19,1,18,0.947368421052632
S19S_0022_ICR-3_p05,0.558578880368745,11,11,1,10,0.909090909090909
S19S_0024_ICR-2_p05,0.0426262854023565,27,27,1,26,0.962962962962963
S19S_0024_ICR-3_p05,0.0713972457859784,14,14,0,14,1
S19S_0028_Sed_Field_ICR-M_P1,0.159914765590025,10,10,1,9,0.9
S19S_0028_Sed_Field_ICR-U_P1,0.956822759834217,10,10,4,6,0.6
S19S_0029_ICR-1_p05,0.388240588604531,25,25,1,24,0.96
S19S_0030_ICR-2_p05,0.310387623945565,27,27,0,27,1
S19S_0033_ICR-1_p05,0.41674884196344,31,31,0,31,1
S19S_0035_Sed_Field_ICR-D_P2,0.144523625906666,25,25,0,25,1
S19S_0040_ICR-1_p05,0.412962751427941,29,29,0,29,1
S19S_0046_ICR-1_p05,0.203229807658701,4,4,0,4,1
S19S_0046_ICR-2_p05,0.144865610201994,6,6,0,6,1
S19S_0046_ICR-3_p05,0.227474907316437,4,4,0,4,1
S19S_0046_Sed_Field_ICR-M_P1,0.461056912985636,5,5,0,5,1
S19S_0047_ICR-2_p05,0.362512668063222,30,30,3,27,0.9
S19S_0050_ICR-3_p05,0.39715487312122,11,11,0,11,1
S19S_0051_ICR-3_p05,0.587855746139626,11,11,1,10,0.909090909090909
S19S_0056_ICR-3_p05,0.711744821835796,11,12,2,10,0.833333333333333
S19S_0067_Sed_Field_ICR-U_P2,0.471861836955041,21,21,4,17,0.80952380952381
S19S_0071_Sed_Field_ICR-D_P2,0.48167183962623,30,30,2,28,0.933333333333333
S19S_0072_Sed_Field_ICR-D_P2,0.438371297960428,32,33,3,30,0.909090909090909
S19S_0074_Sed_Field_ICR-D_P2,0.189885096051215,15,17,6,11,0.647058823529412
S19S_0075_Sed_Field_ICR-U_P2,0.480243606654987,20,20,3,17,0.85
S19S_0077_ICR-1_p05,0.726698311726669,9,9,0,9,1
S19S_0077_Sed_Field_ICR-D_P2,0.151455662001399,18,18,3,15,0.833333333333333
S19S_0079_Sed_Field_ICR-M_P2,0.141459103027071,18,18,3,15,0.833333333333333
S19S_0079_Sed_Field_ICR-U_P2,0.356740416152236,10,10,1,9,0.9
S19S_0083_Sed_Field_ICR-U_P2,0.347454363964568,23,23,2,21,0.91304347826087
S19S_0086_ICR-1_p05,0.390278689039013,23,23,0,23,1
S19S_0089_ICR-3_p05,0.250613072318679,19,19,6,13,0.684210526315789
S19S_0089_Sed_Field_ICR-M_P2,0.471655531639927,18,18,1,17,0.944444444444444
S19S_0091_ICR-2_p05,0.250480258507561,28,28,0,28,1
S19S_0091_Sed_Field_ICR-M_P2,0.961097173167214,12,12,5,7,0.583333333333333
S19S_0096_ICR-3_p05,0.401523781744856,33,33,1,32,0.96969696969697
S19S_0098_Sed_Field_ICR-D_P2,0.992225338712088,13,13,7,6,0.461538461538462
S19S_0098_Sed_Field_ICR-M_P2,0.923680061451733,13,13,6,7,0.538461538461538
S19S_0098_Sed_Field_ICR-U_P2,0.3544361017742,17,18,4,14,0.777777777777778
S19S_0100_ICR-2_p05,0.280257834068919,20,20,2,18,0.9
